Timestamp, Time, Mean, Variance, Deviation, Weighted, Min, Max, Root Mean Square
20.230, 2.701000000E+001, 5.452951238E-004, 3.851651494E-006, 1.962562482E-003, 3.333326209E+002, -1.957035391E-003, 9.217005223E-003, 2.013716849E-003
20.330, 2.711000000E+001, -1.698317064E-004, 3.525623266E-006, 1.877664311E-003, 3.330412961E+002, -2.821781207E-003, 7.734522689E-003, 1.862384295E-003
20.430, 2.721000000E+001, 9.860247475E-004, 3.844785062E-006, 1.960812347E-003, 3.333348668E+002, -2.057979582E-003, 9.167363867E-003, 2.173304999E-003
20.530, 2.731000000E+001, 4.580025425E-004, 3.416792050E-006, 1.848456667E-003, 3.330117046E+002, -3.455387661E-003, 7.201541681E-003, 1.882344811E-003
20.630, 2.741000000E+001, 3.983218576E-004, 2.271631264E-006, 1.507193174E-003, 3.330339793E+002, -2.004477894E-003, 6.599670276E-003, 1.541066490E-003
20.730, 2.751000000E+001, 3.745617860E-005, 3.591469734E-006, 1.895117340E-003, 3.330144239E+002, -2.848154865E-003, 7.813821547E-003, 1.872238200E-003
20.830, 2.761000000E+001, 1.346729589E-003, 3.215737761E-006, 1.793247825E-003, 3.331458246E+002, -1.309245592E-003, 9.317953140E-003, 2.225081059E-003
20.930, 2.771000000E+001, 8.594932180E-004, 2.881654762E-006, 1.697543744E-003, 3.331816909E+002, -1.575655071E-003, 7.269653492E-003, 1.884170664E-003
21.030, 2.781000000E+001, 4.258191578E-004, 3.736640676E-006, 1.933039233E-003, 3.326958100E+002, -3.039020346E-003, 9.270364419E-003, 1.956227250E-003
21.130, 2.791000000E+001, 9.103544765E-004, 3.229642650E-006, 1.797120655E-003, 3.329174802E+002, -2.298974898E-003, 8.654964156E-003, 1.994897529E-003
21.230, 2.801000000E+001, 1.316898718E-003, 3.424851412E-006, 1.850635408E-003, 3.331005542E+002, -1.845504856E-003, 8.808398619E-003, 2.252896066E-003
21.330, 2.811000000E+001, 3.017848494E-004, 3.921236896E-006, 1.980211326E-003, 3.330445930E+002, -2.768634120E-003, 9.568471462E-003, 1.979058126E-003
21.430, 2.821000000E+001, 5.099363909E-004, 4.146118369E-006, 2.036201947E-003, 3.331829344E+002, -2.743320307E-003, 8.211927488E-003, 2.074856297E-003
21.530, 2.831000000E+001, -5.072248212E-005, 4.658452254E-006, 2.158344795E-003, 3.331099253E+002, -2.873576246E-003, 9.441750124E-003, 2.132464358E-003
21.630, 2.841000000E+001, 7.013885869E-004, 3.940043283E-006, 1.984954227E-003, 3.330168946E+002, -1.596104470E-003, 1.044231001E-002, 2.082280148E-003
21.730, 2.851000000E+001, 5.170734869E-005, 3.205859628E-006, 1.790491449E-003, 3.329596937E+002, -2.336511854E-003, 7.920685224E-003, 1.769277135E-003
21.830, 2.861000000E+001, 4.077293616E-004, 4.169676692E-006, 2.041978622E-003, 3.332360064E+002, -2.256725682E-003, 9.214024059E-003, 2.057722161E-003
21.930, 2.871000000E+001, 4.693953420E-004, 2.997895187E-006, 1.731443094E-003, 3.330911549E+002, -2.320248401E-003, 9.017175063E-003, 1.773445172E-003
22.030, 2.881000000E+001, 2.495586343E-004, 2.557670049E-006, 1.599271725E-003, 3.330571746E+002, -2.261979040E-003, 6.587478798E-003, 1.599239621E-003
22.130, 2.891000000E+001, 7.787757180E-004, 3.630114982E-006, 1.905286063E-003, 3.330684318E+002, -2.672459232E-003, 9.089967236E-003, 2.036680439E-003
22.230, 2.901000000E+001, 1.436428317E-004, 2.545273715E-006, 1.595391399E-003, 3.329306857E+002, -2.615487203E-003, 6.259131711E-003, 1.582348613E-003
22.330, 2.911000000E+001, 1.964315747E-004, 3.263599600E-006, 1.806543551E-003, 3.328070948E+002, -2.871003235E-003, 8.901689202E-003, 1.795155975E-003
22.430, 2.921000000E+001, 4.708515753E-004, 3.170040459E-006, 1.780460743E-003, 3.327421574E+002, -1.961606555E-003, 9.429239668E-003, 1.820555851E-003
22.530, 2.931000000E+001, 6.885613078E-004, 3.297079635E-006, 1.815786231E-003, 3.331129446E+002, -2.224671654E-003, 8.675542660E-003, 1.921140217E-003
22.630, 2.941000000E+001, 5.624706557E-004, 4.144908315E-006, 2.035904790E-003, 3.335966350E+002, -3.893524408E-003, 8.010243997E-003, 2.088105895E-003
22.730, 2.951000000E+001, 2.985694104E-004, 3.832050786E-006, 1.957562460E-003, 3.324638472E+002, -2.162359655E-003, 9.905366227E-003, 1.956458491E-003
22.830, 2.961000000E+001, 2.648836162E-004, 3.837636319E-006, 1.958988596E-003, 3.328991247E+002, -2.216235036E-003, 9.606691077E-003, 1.952997379E-003
22.930, 2.971000000E+001, 6.335670826E-004, 2.119353039E-006, 1.455799793E-003, 3.329650071E+002, -2.362296917E-003, 6.320497021E-003, 1.571327066E-003
23.030, 2.981000000E+001, 9.224159957E-004, 2.915176552E-006, 1.707388811E-003, 3.333510494E+002, -1.759916660E-003, 7.623301353E-003, 1.922219018E-003
23.130, 2.991000000E+001, 4.153681404E-004, 2.233938224E-006, 1.494636485E-003, 3.327852720E+002, -2.135244198E-003, 6.063011009E-003, 1.533617494E-003
23.230, 3.001000000E+001, 2.463894386E-004, 3.062269330E-006, 1.749934093E-003, 3.325583767E+002, -2.402008278E-003, 7.990906015E-003, 1.745934589E-003
23.330, 3.011000000E+001, 1.217187313E-003, 3.489766693E-006, 1.868091725E-003, 3.332510165E+002, -1.527832239E-003, 8.261110634E-003, 2.210474019E-003
23.430, 3.021000000E+001, 2.074031140E-004, 3.706549054E-006, 1.925239999E-003, 3.332329118E+002, -2.239194699E-003, 8.828245103E-003, 1.912893481E-003
23.530, 3.031000000E+001, 7.112366514E-004, 3.003676156E-006, 1.733111698E-003, 3.334346435E+002, -2.909984440E-003, 6.421801168E-003, 1.853718786E-003
23.630, 3.041000000E+001, 6.144383425E-004, 2.817607971E-006, 1.678573195E-003, 3.327520403E+002, -2.168845385E-003, 7.841209881E-003, 1.768168629E-003
23.730, 3.051000000E+001, 1.723563896E-004, 3.181429102E-006, 1.783656105E-003, 3.330457137E+002, -2.169138752E-003, 8.491659537E-003, 1.770180780E-003
