Timestamp, Time, Mean, Variance, Deviation
38.37000, 9.000000000E+001, 6.543429243E-004, 1.756763953E-006, 1.325429724E-003
38.47000, 9.010000000E+001, -2.714326684E-004, 1.659229357E-006, 1.288110770E-003
38.57000, 9.020000000E+001, 6.004679210E-004, 1.776446351E-006, 1.332833955E-003
38.67000, 9.030000000E+001, -1.255041003E-004, 1.708114457E-006, 1.306948529E-003
38.77000, 9.040000000E+001, 3.360580514E-004, 1.743062204E-006, 1.320250811E-003
38.87000, 9.050000000E+001, 3.421899291E-004, 1.720532070E-006, 1.311690539E-003
38.97000, 9.060000000E+001, -1.412749323E-004, 1.703377467E-006, 1.305135038E-003
39.07000, 9.070000000E+001, 3.226809444E-004, 1.675190309E-006, 1.294291431E-003
39.17000, 9.080000000E+001, 1.549321722E-005, 1.733842790E-006, 1.316754643E-003
39.27000, 9.090000000E+001, 4.230248157E-004, 1.680997044E-006, 1.296532701E-003
39.37000, 9.100000000E+001, 2.142180761E-004, 1.717078905E-006, 1.310373574E-003
39.47000, 9.110000000E+001, 2.976969913E-004, 1.639389271E-006, 1.280386376E-003
39.57000, 9.120000000E+001, -2.631825627E-004, 1.751410615E-006, 1.323408711E-003
39.67000, 9.130000000E+001, 3.632127222E-004, 1.672435094E-006, 1.293226621E-003
39.77000, 9.140000000E+001, 7.559560825E-005, 1.707170078E-006, 1.306587187E-003
39.87000, 9.150000000E+001, 6.369905652E-004, 1.645366154E-006, 1.282718268E-003
39.97000, 9.160000000E+001, -5.012584057E-004, 1.719600901E-006, 1.311335541E-003
40.07000, 9.170000000E+001, 1.762350286E-004, 1.692812831E-006, 1.301081408E-003
40.17000, 9.180000000E+001, -1.029005408E-004, 1.703067658E-006, 1.305016344E-003
40.27000, 9.190000000E+001, -2.095331694E-004, 1.720246835E-006, 1.311581806E-003
40.37000, 9.200000000E+001, 6.646422240E-004, 1.597722757E-006, 1.264010584E-003
40.47000, 9.210000000E+001, -4.273861617E-004, 1.703646485E-006, 1.305238095E-003
40.57000, 9.220000000E+001, -8.677995528E-006, 1.677781219E-006, 1.295291944E-003
40.67000, 9.230000000E+001, -6.197279413E-005, 1.690783903E-006, 1.300301466E-003
40.77000, 9.240000000E+001, 2.311772727E-004, 1.683826149E-006, 1.297623269E-003
40.87000, 9.250000000E+001, 5.627263214E-004, 1.780752265E-006, 1.334448300E-003
40.97000, 9.260000000E+001, 3.451092708E-004, 1.719620883E-006, 1.311343160E-003
41.07000, 9.270000000E+001, -2.021737010E-004, 1.699709688E-006, 1.303729147E-003
41.17000, 9.280000000E+001, -5.661848824E-006, 1.734706807E-006, 1.317082688E-003
41.27000, 9.290000000E+001, 7.708491926E-005, 1.698831489E-006, 1.303392301E-003
41.37000, 9.300000000E+001, 2.986883728E-004, 1.626907513E-006, 1.275502847E-003
41.47000, 9.310000000E+001, -1.270479481E-004, 1.621061774E-006, 1.273209242E-003
41.57000, 9.320000000E+001, -2.608831230E-005, 1.731880525E-006, 1.316009318E-003
41.67000, 9.330000000E+001, 5.445828694E-004, 1.762036250E-006, 1.327417135E-003
41.77000, 9.340000000E+001, -8.002291690E-005, 1.671435781E-006, 1.292840199E-003
41.87000, 9.350000000E+001, 5.261256046E-004, 1.656484501E-006, 1.287044872E-003
41.97000, 9.360000000E+001, 3.211748795E-004, 1.612456778E-006, 1.269825491E-003
42.07000, 9.370000000E+001, 2.294170700E-004, 1.715695594E-006, 1.309845637E-003
42.17000, 9.380000000E+001, 3.564739072E-004, 1.680455626E-006, 1.296323889E-003
42.27000, 9.390000000E+001, 1.690933573E-005, 1.635662378E-006, 1.278930169E-003
42.37000, 9.400000000E+001, 6.463624143E-005, 1.709326805E-006, 1.307412255E-003
42.47000, 9.410000000E+001, 1.318264588E-004, 1.609904786E-006, 1.268820234E-003
42.57000, 9.420000000E+001, -7.200219337E-005, 1.712931764E-006, 1.308790191E-003
42.67000, 9.430000000E+001, -1.626768390E-004, 1.666215346E-006, 1.290819641E-003
42.77000, 9.440000000E+001, 5.970922020E-004, 1.720899116E-006, 1.311830445E-003
42.87000, 9.450000000E+001, -4.737889335E-004, 1.781346459E-006, 1.334670918E-003
42.97000, 9.460000000E+001, 4.820888542E-005, 1.696768175E-006, 1.302600543E-003
43.07000, 9.470000000E+001, 5.174182488E-004, 1.693248786E-006, 1.301248933E-003
