Statistics_Analysis_Results, , , , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Min Value[Intensity],Max Value[Intensity],Root Mean Square[Intensity]
2017-06-13T13:22:47.3500000-03:00,1.631000000E+001,1.506214256E-003,1.095253516E-005,3.309461461E-003,8.673397956E+002,-2.218734706E-003,9.686671197E-003,3.464717621E-003
2017-06-13T13:22:47.4500000-03:00,1.641000000E+001,9.603376384E-004,7.625151624E-006,2.761367709E-003,8.672070805E+002,-1.807959517E-003,7.551950868E-003,2.774916383E-003
2017-06-13T13:22:47.5500000-03:00,1.651000000E+001,1.632042064E-003,9.623650927E-006,3.102200981E-003,8.672902874E+002,-2.786193509E-003,8.520882577E-003,3.349316002E-003
2017-06-13T13:22:47.6500000-03:00,1.661000000E+001,1.618002580E-003,9.676568946E-006,3.110718397E-003,8.671574300E+002,-1.959188376E-003,9.024892002E-003,3.349526380E-003
2017-06-13T13:22:47.7500000-03:00,1.671000000E+001,1.808981215E-003,8.552992652E-006,2.924549991E-003,8.671446680E+002,2.704456892E-005,9.492644109E-003,3.297737584E-003
2017-06-13T13:22:47.8500000-03:00,1.681000000E+001,1.111256515E-003,9.355401656E-006,3.058660108E-003,8.672969209E+002,-1.213510055E-003,8.963734843E-003,3.090437449E-003
2017-06-13T13:22:47.9500000-03:00,1.691000000E+001,1.158790344E-003,9.714562868E-006,3.116819351E-003,8.673733729E+002,-1.221915125E-003,9.112510830E-003,3.158791233E-003
2017-06-13T13:22:48.0500000-03:00,1.701000000E+001,1.587398180E-003,1.239186708E-005,3.520208385E-003,8.672617278E+002,-1.480720239E-003,1.044617686E-002,3.678970772E-003
2017-06-13T13:22:48.1500000-03:00,1.711000000E+001,1.724826961E-003,1.030190875E-005,3.209658665E-003,8.673056109E+002,-1.802955085E-004,1.015063655E-002,3.483142297E-003
2017-06-13T13:22:48.2500000-03:00,1.721000000E+001,9.775126561E-005,9.968824318E-006,3.157344504E-003,8.672084000E+002,-2.467843704E-003,7.981015369E-003,2.978377491E-003
2017-06-13T13:22:48.3500000-03:00,1.731000000E+001,1.506377322E-003,1.434957349E-005,3.788083089E-003,8.671720923E+002,-2.976673655E-003,1.028305478E-002,3.876125523E-003
2017-06-13T13:22:48.4500000-03:00,1.741000000E+001,1.795531713E-003,7.390834171E-006,2.718608867E-003,8.673192898E+002,-9.060298325E-004,8.695181459E-003,3.129467128E-003
2017-06-13T13:22:48.5500000-03:00,1.751000000E+001,6.330360900E-004,1.129058187E-005,3.360146108E-003,8.671408907E+002,-2.025414724E-003,8.909118362E-003,3.230604813E-003
2017-06-13T13:22:48.6400000-03:00,1.760000000E+001,1.265233150E-003,5.964471812E-006,2.442226814E-003,8.673483418E+002,-1.334355096E-003,7.266825996E-003,2.627273805E-003
2017-06-13T13:22:48.7500000-03:00,1.771000000E+001,1.279212534E-003,6.971029974E-006,2.640270814E-003,8.671156469E+002,-1.934602275E-003,7.183732931E-003,2.798723959E-003
2017-06-13T13:22:48.8500000-03:00,1.781000000E+001,1.237078673E-003,6.737125575E-006,2.595597344E-003,8.671448866E+002,-1.925513730E-003,7.463056594E-003,2.742064863E-003
2017-06-13T13:22:48.9500000-03:00,1.791000000E+001,1.183762849E-003,1.017149903E-005,3.189278764E-003,8.672325254E+002,-2.748584608E-003,8.642596193E-003,3.231505370E-003
2017-06-13T13:22:49.0500000-03:00,1.801000000E+001,1.777128291E-003,7.030296105E-006,2.651470555E-003,8.671243599E+002,-1.407269039E-003,7.794105913E-003,3.067138252E-003
2017-06-13T13:22:49.1500000-03:00,1.811000000E+001,1.147499990E-003,9.123822933E-006,3.020566658E-003,8.673348517E+002,-1.774228876E-003,8.316556923E-003,3.070312860E-003
2017-06-13T13:22:49.2500000-03:00,1.821000000E+001,1.505874676E-003,7.293397627E-006,2.700629117E-003,8.673992883E+002,-6.943254848E-004,8.151561022E-003,2.958154603E-003
2017-06-13T13:22:49.3500000-03:00,1.831000000E+001,1.389959497E-003,1.146971554E-005,3.386696847E-003,8.673341662E+002,-2.961740829E-003,9.236844257E-003,3.482425893E-003
2017-06-13T13:22:49.4400000-03:00,1.840000000E+001,1.399717355E-003,6.039899039E-006,2.457620605E-003,8.672823035E+002,-4.936201149E-004,7.674778812E-003,2.707029335E-003
2017-06-13T13:22:49.5500000-03:00,1.851000000E+001,2.211902472E-003,8.389373736E-006,2.896441564E-003,8.672741236E+002,-1.155897393E-003,9.308015928E-003,3.514218781E-003
2017-06-13T13:22:49.6500000-03:00,1.861000000E+001,4.989749383E-004,1.051327162E-005,3.242417558E-003,8.671582525E+002,-2.876620973E-003,7.917470299E-003,3.097435442E-003
2017-06-13T13:22:49.7500000-03:00,1.871000000E+001,1.693740996E-003,9.643470310E-006,3.105393745E-003,8.672960388E+002,-1.321027754E-003,9.445574135E-003,3.382415139E-003
2017-06-13T13:22:49.8500000-03:00,1.881000000E+001,1.158570937E-003,7.234922653E-006,2.689781153E-003,8.672921204E+002,-1.221683808E-003,7.623126265E-003,2.788069040E-003
2017-06-13T13:22:49.9500000-03:00,1.891000000E+001,5.308119321E-004,5.031327856E-006,2.243062161E-003,8.671798967E+002,-1.908216160E-003,5.670514889E-003,2.180379035E-003
2017-06-13T13:22:50.0500000-03:00,1.901000000E+001,1.272307664E-003,5.175200779E-006,2.274906763E-003,8.672092635E+002,-1.255774405E-003,6.779378280E-003,2.493781318E-003
